"Year","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10"
"1973",16.5,15,13.5,13,13,12,11.5,11.5,11.5,11
"1974",11,10.5,10.5,10,10,10,10,10,10,9.5
"1975",13,11,10,10,10,10,10,9.5,9.5,9
"1976",11.5,10,10,10,9.5,9.5,9,9,8.5,8.5
"1977",10,10,10,9,9,8.5,8.5,8.5,8,8
"1978",12.5,11.5,11,10.5,10,9,9,9,9,9
"1979",14,10,9.5,9.5,9.5,9,9,9,9,9
"1980",10,9.5,9.5,8.5,8.5,8.5,8,8,8,8
"1981",12.5,12,12,11.5,10.5,9,8.5,8.5,8.5,8.5
"1982",11,10.5,10,10,9.5,9,8.5,8.5,8.5,8
"1983",11.5,11,10,9.5,9.5,9.5,9.5,9,8.5,8.5
"1984",9.5,9.5,9.5,9,9,9,9,8.5,8.5,8.5
"1985",13,11,10.5,9.5,7.5,7.5,7.5,7.5,7.5,7
"1986",19,7.5,7.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"1987",9,9,9,8.5,8.5,8,8,8,8,7.5
"1988",9.5,9,9,8,8,8,8,8,8,7.5
"1989",9,8.5,8,7.5,7.5,7.5,7.5,7.5,7.5,7
"1990",10,9,8.5,8.5,8,8,8,8,8,7.5
"1991",9.5,9,8.5,7,7,7,7,6.5,6.5,6.5
"1992",11,10.6,10.4,8,7.2,7,7,7,7,6.9
"1993",13.6,12,8.5,7.9,7.4,7.3,6.8,6.7,6.7,6.6
"1994",13.4,12,11.3,9.6,9.6,8.8,8.8,8.5,8,7.8
"1995",11.6,11.5,11.5,10.8,10.1,10.1,9.9,9.6,9.4,8.8
"1996",10.7,10.7,10.3,9.7,9.6,9.3,9.3,9.2,9.1,9
"1997",11.1,10.9,10.9,10.3,10,9.9,9.8,9.8,9.6,9.5
"1998",18.8,13,11.5,10.5,10.4,10.2,10,9.9,9.9,9.7
"1999",23.9,18.5,13.8,13.4,12.3,12.2,11.7,11.6,11.5,11.4
"2000",18.2,17.1,16.1,15.2,14.8,14.2,13.7,13.6,13.2,13.2
"2001",17.1,12.7,12.1,11.7,10.9,10.6,10.1,9.8,9.5,9.3
"2002",16.1,12.8,12.4,12.3,12.2,10.9,10.9,10.8,10.6,10.5
"2003",15.2,14.4,12.5,11.5,11.2,11.2,11.2,11.1,10.8,10.6
"2004",14.6,11.8,10.9,10.7,10.7,10.7,10.6,10.5,10.4,10.2
"2005",12.8,11.5,11.3,11.2,11,10.8,10.8,10.6,10.4,10.4
"2006",19.1,13,12,11.6,11.5,11.3,11.1,11.1,10.6,10.6
"2007",13.3,12.8,12,11.9,11.7,11.3,10.8,10.7,10.4,10.4
"2008",14.3,12.9,12.1,11.7,11.4,11.1,10.7,10.4,10.4,10.4
"2009",12.3,12.2,11.8,11.5,11,10.9,10.9,10.8,10.8,10.7
"2010",14.5,13.9,12.8,11.8,11.7,11.6,11.6,11.4,11.3,10.6
"2011",15.5,12.9,12.5,12.3,11.9,11.9,11.4,11.4,11.4,11.2
"2012",20.3,15,12.6,11.8,11.7,11.6,11.6,11.5,11.3,10.5
"2013",10.7,9.8,9.6,9.3,9.2,9.2,8.8,8.8,8.8,8.7
"2014",14,11.8,10.6,10.3,9.7,9.7,9.2,9.2,9.2,9
"2015",12.4,12,10.9,10,9.9,9.7,9.6,9.6,9,9
"2016",11.6,10.2,9.6,9.5,9.5,9.5,9.4,9.4,9.2,9
"2017",10.3,10.1,10.1,9.8,9.5,9.2,9.2,8.8,8.7,8.6
"2018",13.6,12.1,11.3,10.7,10.1,9.1,9.1,8.6,8.5,8.5
"2019",14.9,13,10.9,10.6,9.8,9.5,9.3,9.2,9.2,9.1
"2020",11.5,9.5,9.5,9.3,9.2,8.9,8.5,8.4,8.3,8.3
"2021",9.9,9.1,9,8.8,8.4,8.2,8.1,8,8,7.9
"2022",9.7,9.3,9.3,8.9,8.8,8.4,8.3,8.3,7.8,7.5
"2023",9.2,9.1,8.5,8.1,7.9,7.7,7.6,7.5,7.5,7.3
